raw_name,canonical_name,confidence_score,method,entity_type,timestamp
boson-ai,Boson,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.956646+00:00
arcee-ai,Arcee,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.956974+00:00
01-ai,01.AI,1.0,EXACT_ALIAS,STARTUP,2026-08-28T20:04:32.957277+00:00
girafe-ai,Girafe,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.957294+00:00
Arize-ai,Arize,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.957615+00:00
AI-Maker-Space,Maker Space,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.957910+00:00
naver-ai,Naver,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.958263+00:00
moonshine-ai,Moonshine,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.958589+00:00
luxfi,Luxfi,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.958890+00:00
OptimaiNetwork,OptimaiNetwork,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.959187+00:00
hyperai,Hyperai,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.959504+00:00
aiming-lab,Aiming Lab,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.959804+00:00
aiven,Aiven,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.960145+00:00
different-ai,Different,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.960438+00:00
AIRI-Institute,AIRI Institute,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.960742+00:00
OrionStarAI,OrionStarAI,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.961098+00:00
sarvamai,Sarvamai,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.961409+00:00
Ai-Thinker-Open,Thinker Open,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.961727+00:00
AssemblyAI,AssemblyAI,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.962089+00:00
AIDotNet,AIDotNet,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.962395+00:00
kby-ai,Kby,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.962719+00:00
leptonai,Leptonai,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.963017+00:00
valeoai,Valeoai,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.963312+00:00
aisingapore,Aisingapore,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.963600+00:00
agentscope-ai,Agentscope,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.963897+00:00
aiplanethub,Aiplanethub,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.964218+00:00
protectai,Protectai,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.964530+00:00
AikidoSec,AikidoSec,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.964823+00:00
khoj-ai,Khoj,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.965113+00:00
tracel-ai,Tracel,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.965405+00:00
i-dot-ai,I Dot,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.965705+00:00
hyperspaceai,Hyperspaceai,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.966042+00:00
ai-dynamo,Dynamo,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.966868+00:00
AI-Hobbyist,Hobbyist,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.967467+00:00
open-gigaai,OpenAI,0.887,FUZZY_MATCH,STARTUP,2026-08-28T20:04:32.968077+00:00
AILab-CVC,AILab CVC,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.968631+00:00
Airtable,Airtable,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.969068+00:00
AI-secure,Secure,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.969542+00:00
castai,Castai,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.970069+00:00
Tele-AI,Tele,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.970502+00:00
HumeAI,HumeAI,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.971135+00:00
kulkas2pintu,Kulkas2Pintu,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.382271+00:00
pollen-robotics,Pollen Robotics,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.383163+00:00
mpasila,Mpasila,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.383797+00:00
Saravutw,Saravutw,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.384246+00:00
pnemrow,Pnemrow,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.384651+00:00
wank3r,Wank3R,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.384969+00:00
hugging-apps,Hugging Face,0.891,FUZZY_MATCH,STARTUP,2026-08-28T20:04:33.385200+00:00
MiniMaxAI,MiniMaxAI,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.385438+00:00
prithivMLmods,prithivMLmods,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.385695+00:00
Lynote,Lynote,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.385993+00:00
agent-memory-leaderboard,Agent Memory Leaderboard,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.386283+00:00
Lynote,Lynote,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.386863+00:00
kulkas2pintu,Kulkas2Pintu,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.387323+00:00
SageBio,SageBio,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.387710+00:00
selfit-camera,Selfit Camera,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.388111+00:00
hugging-apps,Hugging Face,0.891,FUZZY_MATCH,STARTUP,2026-08-28T20:04:33.388547+00:00
Rchoks,Rchoks,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.388977+00:00
MiniMaxAI,MiniMaxAI,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.389358+00:00
M3st3rJ4k3l,M3st3rJ4k3l,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.389691+00:00
shootstuff,Shootstuff,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.390117+00:00
wank3r,Wank3R,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.390342+00:00
wxDai,wxDai,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.390543+00:00
hugging-apps,Hugging Face,0.891,FUZZY_MATCH,STARTUP,2026-08-28T20:04:33.391083+00:00
victor,Victor,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.391922+00:00
JitRoy2024,JitRoy2024,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.393625+00:00
Saravutw,Saravutw,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.394459+00:00
chrisssut,Chrisssut,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.394927+00:00
k2-fsa,K2 Fsa,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.395327+00:00
mrfakename,Mrfakename,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.395701+00:00
dayona,Dayona,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.395989+00:00
mmmat32,Mmmat32,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.396406+00:00
FrameAI4687,FrameAI4687,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.397032+00:00
FINAL-Bench,FINAL Bench,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.397480+00:00
JonathanColetti,JonathanColetti,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.397978+00:00
linoyts,Linoyts,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.398490+00:00
prithivMLmods,prithivMLmods,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.398964+00:00
microsoft,Microsoft,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.399260+00:00
Pepe104,Pepe104,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.399563+00:00
conradlocke,Conradlocke,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.399924+00:00
oai,Oai,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.400297+00:00
Ziadhero,Ziadhero,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.400726+00:00
victor,Victor,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.401184+00:00
black-forest-labs,Black Forest Labs,1.0,EXACT_ALIAS,STARTUP,2026-08-28T20:04:33.401539+00:00
BreezeBlue,BreezeBlue,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.401559+00:00
DontPlanToEnd,DontPlanToEnd,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.401964+00:00
apathy-exe,Apathy Exe,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.402321+00:00
zerogpu-aoti,Zerogpu Aoti,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.402662+00:00
linoyts,Linoyts,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.403175+00:00
r3gm,R3Gm,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.403916+00:00
dream2589632147,Dream2589632147,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.404286+00:00
CohereLabs,Cohere,0.92,FUZZY_MATCH,STARTUP,2026-08-28T20:04:33.404637+00:00
tri-fair-lab,Tri Fair Lab,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.405016+00:00
tencent,Tencent,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.405452+00:00
Qwen,Qwen,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.405694+00:00
mrfakename,Mrfakename,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.406071+00:00
black-forest-labs,Black Forest Labs,1.0,EXACT_ALIAS,STARTUP,2026-08-28T20:04:33.406489+00:00
ivannm,Ivannm,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.406524+00:00
mpasila,Mpasila,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.406894+00:00
multimodalart,Multimodalart,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.407244+00:00
CodeSoft,CodeSoft,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.407683+00:00
apodex,Apodex,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.408189+00:00
mteb,Mteb,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.408574+00:00
someone-in-the-world,Someone In The World,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.409011+00:00
ResterChed,ResterChed,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.409634+00:00
leosayer06,Leosayer06,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.409930+00:00
Lonuhbow,Lonuhbow,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.410194+00:00
Qwen,Qwen,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.410726+00:00
prithivMLmods,prithivMLmods,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.410969+00:00
Onise,Onise,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.411212+00:00
Parthiban543,Parthiban543,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.411417+00:00
saddamdarwish,Saddamdarwish,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.411772+00:00
Audio8,Udio,0.889,FUZZY_MATCH,STARTUP,2026-08-28T20:04:33.412140+00:00
chrisssut,Chrisssut,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.412442+00:00
open-llm-leaderboard,Open LLM Leaderboard,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.412682+00:00
nanotron,Nanotron,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:33.413017+00:00
